"","type","ICC","F","df1","df2","p","lower bound","upper bound"
"Single_raters_absolute","ICC1",0.136454066672468,1.47404797384662,28,58,0.106255503484665,-0.0715488356496021,0.39088892914371
"Single_random_raters","ICC2",0.142946534292012,1.51388911362638,28,56,0.0932923631489076,-0.0618247161690132,0.39428281771613
"Single_fixed_raters","ICC3",0.146245113892065,1.51388911362638,28,56,0.0932923631489076,-0.0648939204046454,0.401443638695886
"Average_raters_absolute","ICC1k",0.321596028255146,1.47404797384662,28,58,0.106255503484665,-0.250491216746074,0.658144213644149
"Average_random_raters","ICC2k",0.333495539678318,1.51388911362638,28,56,0.0932923631489076,-0.211643782010512,0.661339136633093
"Average_fixed_raters","ICC3k",0.339449639343403,1.51388911362638,28,56,0.0932923631489076,-0.223717583301742,0.668001228468347
