"","type","ICC","F","df1","df2","p","lower bound","upper bound"
"Single_raters_absolute","ICC1",0.714043102794054,8.49109159216887,28,58,5.06843598761308e-12,0.545901899216876,0.840851776461731
"Single_random_raters","ICC2",0.716814816620315,9.4627557187067,28,56,9.43970735056266e-13,0.543495816454844,0.843876183763065
"Single_fixed_raters","ICC3",0.738282828874724,9.4627557187067,28,56,9.43970735056266e-13,0.577934394463181,0.855957998702352
"Average_raters_absolute","ICC1k",0.88222951205446,8.49109159216887,28,58,5.06843598761308e-12,0.782915538673784,0.940654057990573
"Average_random_raters","ICC2k",0.88363669659849,9.4627557187067,28,56,9.43970735056266e-13,0.781262092120275,0.941912871839218
"Average_fixed_raters","ICC3k",0.894322538832623,9.4627557187067,28,56,9.43970735056266e-13,0.804224817528431,0.946885522473596
