"","type","ICC","F","df1","df2","p","lower bound","upper bound"
"Single_raters_absolute","ICC1",0.948667122437441,56.4420773283932,28,58,1.35431598951143e-32,0.908032983369034,0.973686021007714
"Single_random_raters","ICC2",0.948922280437227,79.7144292146241,28,56,9.89658268083242e-36,0.879770789833326,0.977113067781877
"Single_fixed_raters","ICC3",0.963286777759648,79.7144292146241,28,56,9.89658268083242e-36,0.933376330381088,0.981320186376801
"Average_raters_absolute","ICC1k",0.982282721555733,56.4420773283932,28,58,1.35431598951143e-32,0.967342023334243,0.99107205381025
"Average_random_raters","ICC2k",0.98237389256401,79.7144292146241,28,56,9.89658268083242e-36,0.956431455480661,0.992252816416928
"Average_fixed_raters","ICC3k",0.987455219715522,79.7144292146241,28,56,9.89658268083242e-36,0.976759882172325,0.993694876436914
