"","type","ICC","F","df1","df2","p","lower bound","upper bound"
"Single_raters_absolute","ICC1",0.603102984040659,5.55863581576366,28,58,1.87049025879075e-08,0.401868018249577,0.76977920999695
"Single_random_raters","ICC2",0.603102984048022,5.5586358165431,28,56,2.61824629014965e-08,0.40180941800323,0.769795590258793
"Single_fixed_raters","ICC3",0.603102984081586,5.5586358165431,28,56,2.61824629014965e-08,0.400059433657282,0.77028314915843
"Average_raters_absolute","ICC1k",0.820099745127372,5.55863581576366,28,58,1.87049025879075e-08,0.66839273061743,0.909346133488985
"Average_random_raters","ICC2k",0.82009974513191,5.5586358165431,28,56,2.61824629014965e-08,0.668338692158886,0.909353752876757
"Average_fixed_raters","ICC3k",0.820099745152598,5.5586358165431,28,56,2.61824629014965e-08,0.666721694196941,0.909580454171277
